Symbol	Name	ISIN	Product Class
1SU N6 220	PO1SU 26026222000P	FREX02496245	Put Option
PST L6 23.5	EOPST 2612I323500C	IT0025287555	Call Option
MHQM C6 160	AOMHQM2603K216000C	NLEX02888975	Call Option
DNB D6 320	OODNB 2604H232000C	NO0511204815	Call Option
CE1 C6 5	POCE1 2603K200500C	FREX02352984	Call Option
AP7 X6	AFAP7 2611K000000F	NLEX02791773	Futures
AH1 B6 39	POAH1 2602K203900C	FREX02188107	Call Option
BZU N6 23	EOBZU 2602K323000P	IT0025348928	Put Option
MT N6 44	AOMT  2602K204400P	NLEX02829946	Put Option
ASL U6 1550	AOASL 2609I2F5000P	NLEX03336537	Put Option
SOV P6 10	BOSOV 2604H201000P	BEEX00538088	Put Option
CPR B6 4.1	EOCPR 2602K441000C	IT0025754794	Call Option
MIB L1 70000	IOMIB 3112J070000C	IT0025690642	Call Option
BWQ X8 110	AOBWQ 2812F211000P	NLEX03065722	Put Option
ENE D6 8	EOENE 2604H480000C	IT0025848315	Call Option
MHQ D6 205	AOMHQ 2604H220500C	NLEX03270538	Call Option
IBA C6 14.5	BOIBA 2603K201450C	BEEX00509592	Call Option
RAC5 L6 272	EORAC52612I227200C	IT0025593382	Call Option
ENE N6 6.9	EOENE 2602K469000P	IT0025878007	Put Option
G3 P6 30	EOG3  2604H330000P	IT0025777365	Put Option
2CA N6 15	PO2CA 2602D201500P	FREX02590534	Put Option
SES N6 42	EOSES 2602K342000P	IT0025370401	Put Option
1DG N6 98	PO1DG 26026209800P	FREX02575055	Put Option
EF1 N6 100	POEF1 2602K210000P	FREX02459292	Put Option
SM4 N6 320	POSM4 2602K232000P	FREX02207915	Put Option
VPK D6 41	AOVPK 2604H204100C	NLEX03266890	Call Option
UCG5 L6 58	EOUCG52612I358000C	IT0025619443	Call Option
JN1 P6 112	POJN1 2604H211200P	FREX02518501	Put Option
OR1M P6 460	POOR1M2604H246000P	FREX02560263	Put Option
1PH B6 14	AO1PH 26026201400C	NLEX03237792	Call Option
AK1 O6 57	POAK1 2603K205700P	FREX02487368	Put Option
APQM L6 260	AOAPQM2612I226000C	NLEX03105791	Call Option
INT P6 35	BOINT 2604H203500P	BEEX00539045	Put Option
FUR P6 5.6	AOFUR 2604H200560P	NLEX03322842	Put Option
LUQ D6 9	AOLUQ 2604H200900C	NLEX03256230	Call Option
REN D6 25	AOREN 2604H202500C	NLEX03262758	Call Option
CR1 L0 8	POCR1 3012K200800C	FREX02390042	Call Option
ELA N6 80	BOELA 2602K208000P	BEEX00466348	Put Option
SL N6 26	EOSL  2602K326000P	IT0025372563	Put Option
GK1 B6 8	POGK1 2602K200800C	FREX02244645	Call Option
WBD5 N6 7	EOWBD52602K470000P	IT0025450682	Put Option
TRN N6 5.8	EOTRN 2602K458000P	IT0025390565	Put Option
ZA1 O6 72	POZA1 2603K207200P	FREX02374699	Put Option
UBL D6 98	AOUBL 2604H209800C	NLEX03265918	Call Option
GBL L6 60	BOGBL 2612I206000C	BEEX00493532	Call Option
BRE P6 15.5	EOBRE 2604H315500P	IT0025773182	Put Option
GLB O6 8	AOGLB 2603K200800P	NLEX03086629	Put Option
NN P6 57	AONN  2604H205700P	NLEX03287409	Put Option
ISP5 N6 5.6	EOISP52602K456000P	IT0025403608	Put Option
MC1 L0 400	POMC1 3012K240000C	FREX02355409	Call Option
TL1 O6 46	POTL1 2603K204600P	FREX02163357	Put Option
ES1 N6 41	POES1 2602K204100P	FREX02243613	Put Option
VWQ X8 100	AOVWQ 2812F210000P	NLEX03084921	Put Option
UL F7 25	AOUL  2706I202500C	NLEX02979832	Call Option
BB1 X6 50	POBB1 2612I205000P	FREX02354733	Put Option
RED B6 94	EORED 2602K394000C	IT0025368553	Call Option
1AM N6 35	AO1AM 26026203500P	NLEX03233346	Put Option
ASMM O6 440	AOASMM2603K244000P	NLEX02896747	Put Option
IY1 L6 25	POIY1 2612I202500C	FREX02350780	Call Option
LDO X0 128	EOLDO 3012K212800P	IT0025674778	Put Option
5GS M6 14	BO5GS 2601U201400P	BEEX00520441	Put Option
ML4 N6 30	POML4 2602K203000P	FREX02203419	Put Option
PRY5 N6 130	EOPRY52602K213000P	IT0025453843	Put Option
MFEA I6 1.55	EOMFEA2609I415500C	IT0025282986	Call Option
DA1 O6 62	PODA1 2603K206200P	FREX02460217	Put Option
EO1 I6 15	POEO1 2609I201500C	FREX02268602	Call Option
AGB B6 30	BOAGB 2602K203000C	BEEX00462859	Call Option
AS1 N6 19.5	POAS1 2602K201950P	FREX02208277	Put Option
BMP X8 11	EOBMP 2812F311000P	IT0025575231	Put Option
PSQ N6 5.4	AOPSQ 2602K200540P	NLEX02852021	Put Option
GEO N6 0.32	EOGEO 2602K403200P	IT0025437028	Put Option
SCH X6 340	OOSCH 2612I234000P	NO0511193331	Put Option
ASLM C6 1900	AOASLM2603K2J0000C	NLEX03170878	Call Option
2FR B6 235	OO2FR 2602D223500C	NO0511216736	Call Option
SOV U6 7	BOSOV 2609I200700P	BEEX00543906	Put Option
GL1 P6 58	POGL1 2604H205800P	FREX02545603	Put Option
5UCG M6 53	EO5UCG2601U353000P	IT0025718542	Put Option
EDP O6 2.6	SOEDP 2603K200260P	PTEX00047525	Put Option
VVQ X8 40	AOVVQ 2812F204000P	NLEX03089045	Put Option
ENE3 P6 20	EOENE32604H320000P	IT0025849768	Put Option
5AG A6 6.1	AO5AG 2601U200610C	NLEX03236331	Call Option
ENX O6 84	AOENX 2603K208400P	NLEX03205831	Put Option
2TO N6 57	PO2TO 2602D205700P	FREX02591631	Put Option
PNL B6 1.7	AOPNL 2602K200170C	NLEX03358135	Call Option
EY1 B6 26	POEY1 2602K202600C	FREX02215165	Call Option
GK1 N6 13.5	POGK1 2602K201350P	FREX02244835	Put Option
SHQ R8 36	AOSHQ 2806G203600P	NLEX02793977	Put Option
BM1 N6 90	POBM1 2602K209000P	FREX02522040	Put Option
TIR3 N6 0.76	EOTIR32602K407600P	IT0025385649	Put Option
CS1 P6 52	POCS1 2604H205200P	FREX02544887	Put Option
BPM3 X0 8.8	EOBPM33012K488000P	IT0025662930	Put Option
CR4 N6 18	POCR4 2602K201800P	FREX02225032	Put Option
AVIO N6 55	EOAVIO2602K355000P	IT0025767184	Put Option
AH9 N6 50	AOAH9 2602K205000P	NLEX02859901	Put Option
TIR3 D6 0.7	EOTIR32604H407000C	IT0025809853	Call Option
SIF N6 4.6	AOSIF 2602K200460P	NLEX02882689	Put Option
SYE B6 72	BOSYE 2602K207200C	BEEX00471454	Call Option
AVIO R6 76	EOAVIO2606J376000P	IT0025704716	Put Option
ADQ X8 300	AOADQ 2812F230000P	NLEX03046888	Put Option
MAT L6 13.5	EOMAT 2612I313500C	IT0025655967	Call Option
CSM C6 15.5	AOCSM 2603K201550C	NLEX03081695	Call Option
UCG5 N6 50	EOUCG52602K350000P	IT0025394385	Put Option
CA4 D6 19	POCA4 2604H201900C	FREX02551650	Call Option
LK1 O6 84	POLK1 2603K208400P	FREX02493622	Put Option
ENE5 D6 4.6	EOENE52604H446000C	IT0025872893	Call Option
VLK P6 26	AOVLK 2604H202600P	NLEX03304709	Put Option
AZM B6 56	EOAZM 2602K356000C	IT0025414415	Call Option
ING N6 26.81	AOING 2602K202681P	NLEX02824046	Put Option
BMP3 I6 16	EOBMP32609I316000C	IT0025473353	Call Option
ENI3 L0 64	EOENI33012K364000C	IT0025690188	Call Option
STL B6 9.5	EOSTL 2602K495000C	IT0025378172	Call Option
ENI3 X0 8	EOENI33012K480000P	IT0025650513	Put Option
BI B6 4.6	AOBI  2602K200460C	NLEX02973777	Call Option
UCG5 P6 106	EOUCG52604H210600P	IT0025819241	Put Option
AEOM A6 1035	KOAEOM2601U110350C	NLEX03164756	Call Option
PST5 B6 30	EOPST52602K330000C	IT0025365955	Call Option
1YA N6 440	OO1YA 26026244000P	NO0511198348	Put Option
VR7 J6	OFVR7 2604H000000F	NO0511194149	Futures
ADQM D6 190	AOADQM2604H219000C	NLEX03308072	Call Option
SU1 D6 320	POSU1 2604H232000C	FREX02512710	Call Option
AZQ N6 230	AOAZQ 2602K223000P	NLEX02845140	Put Option
UNI B6 17	EOUNI 2602K317000C	IT0025395333	Call Option
MC1M R6 300	POMC1M2606J230000P	FREX02509823	Put Option
MIB O6 48100	IOMIB 2603K048100P	IT0025871341	Put Option
EY1 P6 40	POEY1 2604H204000P	FREX02541883	Put Option
IMD N6 70	AOIMD 2602K207000P	NLEX02858200	Put Option
ENI3 D6 18.5	EOENI32604H318500C	IT0025851210	Call Option
BMP L6 6.2	EOBMP 2612I462000C	IT0025509842	Call Option
IG N6 13.25	EOIG  2602K313250P	IT0025746964	Put Option
STL L2 3.6	EOSTL 3212H436000C	IT0025604007	Call Option
TIL U6 30	AOTIL 2609I203000P	NLEX02934761	Put Option
CP1 C6 145	POCP1 2603K214500C	FREX02356662	Call Option
SES L6 118	EOSES 2612I211800C	IT0025598043	Call Option
EH1 P6 1	POEH1 2604H200100P	FREX02530829	Put Option
MRQ O6 740	AOMRQ 2603K274000P	NLEX03054965	Put Option
AZM N6 29	EOAZM 2602K329000P	IT0025414043	Put Option
SG4 O6 74	POSG4 2603K207400P	FREX02418637	Put Option
GEO B6 0.5	EOGEO 2602K405000C	IT0025437275	Call Option
1UG B6 8.2	PO1UG 26026200820C	FREX02501671	Call Option
ARIS N6 3.3	EOARIS2602K433000P	IT0025435022	Put Option
DS1 P6 28	PODS1 2604H202800P	FREX02527627	Put Option
ZA4 N6 50	POZA4 2602K205000P	FREX02210414	Put Option
BZU L6 76	EOBZU 2612I376000C	IT0025577807	Call Option
5MT A6 54	AO5MT 2601U205400C	NLEX03212795	Call Option
FUR L6 3	AOFUR 2612I200300C	NLEX03082495	Call Option
EL1 N6 120	POEL1 2602K212000P	FREX02459037	Put Option
CA1 B6 10.5	POCA1 2602K201050C	FREX02232384	Call Option
OVS L6 3.9	EOOVS 2612I439000C	IT0025635324	Call Option
MEQ L8 400	AOMEQ 2812F240000C	NLEX03093419	Call Option
RWQ F6 70	AORWQ 2606J207000C	NLEX03230599	Call Option
BPM B6 25	EOBPM 2602K325000C	IT0025436434	Call Option
PIR X8 1.9	EOPIR 2812F419000P	IT0025587350	Put Option
SRG L6 6.2	EOSRG 2612I462000C	IT0025528503	Call Option
ASR B6 26	AOASR 2602K202600C	NLEX02854175	Call Option
SG4 O6 88	POSG4 2603K208800P	FREX02363734	Put Option
DIA X6 86	EODIA 2612I386000P	IT0025645950	Put Option
DLG P6 70	EODLG 2604H370000P	IT0025846988	Put Option
US1 B6 2.2	POUS1 2602K200220C	FREX02594627	Call Option
IG L6 5	EOIG  2612I450000C	IT0025624427	Call Option
ASL D6 1440	AOASL 2604H2E4000C	NLEX03336487	Call Option
SO1 D6 54	POSO1 2604H205400C	FREX02554373	Call Option
TL1 N6 34	POTL1 2602K203400P	FREX02597968	Put Option
G3 N6 29.5	EOG3  2602K329500P	IT0025725588	Put Option
BME B6 24	EOBME 2602K324000C	IT0025345874	Call Option
GA1 N6 14	POGA1 2602K201400P	FREX02222153	Put Option
FBK5 N6 27.5	EOFBK52602K327500P	IT0025724987	Put Option
UL9C I6 40	AOUL9C2609I204000C	NLEX02983495	Call Option
EA1 X0 120	POEA1 3012K212000P	FREX02413919	Put Option
NX1 D6 6.8	PONX1 2604H200680C	FREX02539317	Call Option
PIR L8 5.6	EOPIR 2812F456000C	IT0025587640	Call Option
ZA4 D6 68	POZA4 2604H206800C	FREX02537014	Call Option
STE N6 20.5	EOSTE 2602K320500P	IT0025766509	Put Option
TEN P6 16.5	EOTEN 2604H316500P	IT0025805281	Put Option
BMP3 F0 8.8	EOBMP33006L488000C	IT0025479178	Call Option
HNQ D6 60	AOHNQ 2604H206000C	NLEX03300475	Call Option
IF B6 32	EOIF  2602K332000C	IT0025399194	Call Option
GEO L6 0.16	EOGEO 2612I401600C	IT0025660041	Call Option
TF1 C6 7.6	POTF1 2603K200760C	FREX02347489	Call Option
GA4 B6 26	POGA4 2602K202600C	FREX02223029	Call Option
MON B6 27	EOMON 2602K327000C	IT0025407757	Call Option
1MO B6 260	OO1MO 26026226000C	NO0511196870	Call Option
LF1 U6 25	POLF1 2609I202500P	FREX02170956	Put Option
ZA1 B6 90	POZA1 2602K209000C	FREX02210265	Call Option
OVS X6 6.6	EOOVS 2612I466000P	IT0025635613	Put Option
IVG B6 15.75	EOIVG 2602K315750C	IT0025748739	Call Option
FBK5 X6 13.5	EOFBK52612I313500P	IT0025578953	Put Option
CBQ B6 27.5	AOCBQ 2602K202750C	NLEX02880238	Call Option
5SG A6 90	PO5SG 2601U209000C	FREX02482468	Call Option
TPRO D6 8.8	EOTPRO2604H488000C	IT0025814051	Call Option
NAS B6 19.5	OONAS 2602K201950C	NO0511158045	Call Option
GVS B6 3.95	EOGVS 2602K439500C	IT0025726453	Call Option
2AD B6 840	AO2AD 2602D108400C	NLEX03341743	Call Option
IET B6 210	BOIET 2602K221000C	BEEX00523817	Call Option
BESM I6 240	AOBESM2609I224000C	NLEX02939141	Call Option
ENE5 B6 12.5	EOENE52602K312500C	IT0025433399	Call Option
FCR P6 22	EOFCR 2604H322000P	IT0025858462	Put Option
TRN B6 7.4	EOTRN 2602K474000C	IT0025390714	Call Option
STE5 D6 33	EOSTE52604H333000C	IT0025865814	Call Option
AZQM N6 420	AOAZQM2602K242000P	NLEX02892548	Put Option
APQ O6 155	AOAPQ 2603K215500P	NLEX03159020	Put Option
GLP D6 9.2	SOGLP 2604H200920C	PTEX00050206	Call Option
MIB L0 68000	IOMIB 3012K068000C	IT0025255842	Call Option
SES X6 128	EOSES 2612I212800P	IT0025598159	Put Option
MON5 N6 35	EOMON52602K335000P	IT0025408821	Put Option
WBD5 L6 3.5	EOWBD52612I435000C	IT0025637726	Call Option
GLS P6 25.5	BOGLS 2604H202550P	BEEX00542429	Put Option
5UG M6 8.7	PO5UG 2601U200870P	FREX02501929	Put Option
UNI D6 8.4	EOUNI 2604H484000C	IT0025894699	Call Option
BN1 L0 90	POBN1 3012K209000C	FREX02383021	Call Option
RHQ L6 1640	AORHQ 2612I2G4000C	NLEX03100354	Call Option
5IT A6 64	BO5IT 2601U206400C	BEEX00522199	Call Option
FSQ P6 51	AOFSQ 2604H205100P	NLEX03274522	Put Option
GVS B6 3.65	EOGVS 2602K436500C	IT0025726396	Call Option
FLW C6 28.5	AOFLW 2603K202850C	NLEX03220665	Call Option
EOQ L6 23	AOEOQ 2612I202300C	NLEX03042135	Call Option
2DA N6 62	PO2DA 2602D206200P	FREX02586359	Put Option
ASM C6 520	AOASM 2603K252000C	NLEX03080333	Call Option
VU1 O6 125	POVU1 2603K212500P	FREX02506829	Put Option
AEOM M6 860	KOAEOM2601U108600P	NLEX02931981	Put Option
TGY N6 18	EOTGY 2602K318000P	IT0025382828	Put Option
IBA O6 9.8	BOIBA 2603K200980P	BEEX00501185	Put Option
GL4 C6 82	POGL4 2603K208200C	FREX02494372	Call Option
SPM D6 2.6	EOSPM 2604H426000C	IT0025798098	Call Option
WHV P6 17	AOWHV 2604H201700P	NLEX03267203	Put Option
PRY5 B6 102	EOPRY52602K210200C	IT0025363299	Call Option
SRG3 B6 12	EOSRG32602K312000C	IT0025376697	Call Option
GJF L6 230	OOGJF 2612I223000C	NO0511170008	Call Option
TIR3 N6 0.65	EOTIR32602K406500P	IT0025740249	Put Option
CS1 F7 20	POCS1 2706I202000C	FREX02125638	Call Option
ENI D6 9	EOENI 2604H490000C	IT0025849933	Call Option
GA1 B6 21	POGA1 2602K202100C	FREX02222344	Call Option
TF1 O6 6.8	POTF1 2603K200680P	FREX02347430	Put Option
ASLM U6 1160	AOASLM2609I2B6000P	NLEX03174078	Put Option
MT9 P6 40	AOMT9 2604H204000P	NLEX03254664	Put Option
EF1 F6 330	POEF1 2606J233000C	FREX02494059	Call Option
SOV D6 30	BOSOV 2604H203000C	BEEX00538492	Call Option
1MC B6 580	PO1MC 26026258000C	FREX02497136	Call Option
DA1 B6 56	PODA1 2602K205600C	FREX02211842	Call Option
DNR N6 3.6	EODNR 2602K436000P	IT0025437481	Put Option
MT9 X6 36	AOMT9 2612I203600P	NLEX03049486	Put Option
GEO N6 0.345	EOGEO 2602K403450P	IT0025763720	Put Option
PST3 B6 25	EOPST32602K325000C	IT0025364958	Call Option
SFE B6 9.75	EOSFE 2602K497500C	IT0025734358	Call Option
5NH M6 68	OO5NH 2601U206800P	NO0511190436	Put Option
AZE U6 11	BOAZE 2609I201100P	BEEX00506721	Put Option
RN1 L6 18	PORN1 2612I201800C	FREX02366125	Call Option
BPM3 X0 7.6	EOBPM33012K476000P	IT0025662872	Put Option
MKQ D6 96	AOMKQ 2604H209600C	NLEX03297218	Call Option
BGQ X6 57	AOBGQ 2612I205700P	NLEX03222539	Put Option
PST F6 27.5	EOPST 2606J327500C	IT0025286573	Call Option
CA4 X6 5	POCA4 2612I200500P	FREX02390919	Put Option
RD9 B6 25	AORD9 2602K202500C	NLEX02830639	Call Option
TKG L7 55	AOTKG 2712H205500C	NLEX03117622	Call Option
WA6 Z6	AFWA6 2612I000000F	NLEX03016691	Futures
DAN B6 51	EODAN 2602K351000C	IT0025756096	Call Option
ALF P6 13	AOALF 2604H201300P	NLEX03252908	Put Option
EF1M C6 160	POEF1M2603K216000C	FREX02238886	Call Option
MC1 X0 1200	POMC1 3012K2C0000P	FREX02355557	Put Option
ENI5 B6 27	EOENI52602K327000C	IT0025428019	Call Option
IG7 G6	EFIG7 2602K000000F	IT0025284420	Futures
IP N6 29	EOIP  2602K329000P	IT0025401560	Put Option
2NH B6 90	OO2NH 2602D209000C	NO0511216371	Call Option
TPRO N6 18.75	EOTPRO2602K318750P	IT0025742500	Put Option
SHQ B6 55	AOSHQ 2602K205500C	NLEX03019364	Call Option
AZQ P6 355	AOAZQ 2604H235500P	NLEX03269449	Put Option
RAC5 B6 348	EORAC52602K234800C	IT0025367035	Call Option
1PX B6 8225	JO1PX 26026008225C	FREX02593504	Call Option
ASL N6 1020	AOASL 2602K2A2000P	NLEX02917006	Put Option
MOW X6 150	OOMOW 2612I215000P	NO0511213626	Put Option
ASM N6 430	AOASM 2602K243000P	NLEX02860404	Put Option
AVIO F6 26	EOAVIO2606J326000C	IT0025277184	Call Option
STL3 D6 9	EOSTL32604H490000C	IT0025803591	Call Option
BMP3 F6 8.2	EOBMP32606J482000C	IT0025472090	Call Option
CPR B6 8.1	EOCPR 2602K481000C	IT0025880011	Call Option
KYG O6 78	AOKYG 2603K207800P	NLEX03087346	Put Option
OR1 D6 410	POOR1 2604H241000C	FREX02511738	Call Option
OA1 X6 3	POOA1 2612I200300P	FREX02378575	Put Option
MNQ B6 80	AOMNQ 2602K208000C	NLEX02847013	Call Option
FCR N6 25	EOFCR 2602K325000P	IT0025434405	Put Option
ENX P6 120	AOENX 2604H212000P	NLEX03280420	Put Option
EN6 F7	PFEN6 2701F000000F	FREX02324488	Futures
2UL N6 72	AO2UL 2602D207200P	NLEX03350595	Put Option
HA1 X6 6	POHA1 2612I200600P	FREX02365374	Put Option
RD L6 14	AORD  2612I201400C	NLEX03041558	Call Option
AS9 B6 1040	AOAS9 2602K2A4000C	NLEX02833716	Call Option
UL1 D6 78	POUL1 2604H207800C	FREX02570361	Call Option
DTQ N6 42.5	AODTQ 2602K204250P	NLEX03179911	Put Option
SIF I6 9	AOSIF 2609I200900C	NLEX03101790	Call Option
AUT P6 12	OOAUT 2604H201200P	NO0511208683	Put Option
VU1 D6 55	POVU1 2604H205500C	FREX02593207	Call Option
FT4 D6 5	POFT4 2604H200500C	FREX02549639	Call Option
1DA N6 78	PO1DA 26026207800P	FREX02500269	Put Option
SU1 B6 150	POSU1 2602K215000C	FREX02185707	Call Option
BRE L8 24	EOBRE 2812F324000C	IT0025576981	Call Option
1NH B6 80	OO1NH 26026208000C	NO0511196292	Call Option
